# id;sud;brojPredmeta;tipKrivicnogDjela;clanKZ;iznos;ranijeOsudjivan;uslovnaOsuda;vrstaPresude;zaposlenost;bracniStatus;kaznaUMjesecima;novcanaKazna;obrazovanje;ukupanIznos;brojTransakcija;brojOkrivljenih;brojSvjedoka;brojDokaza;priznanje;pokusaj;saizvrsilastvo
62;Bijelo Polje;344/09;falsifikovanje novca;čl. 258;750.0;da;Ne;osudjujuca;nezaposlen;neozenjen;6.0;0.0;SSS;1524.5;10;2;0;8;ne;ne;da
63;Bar;34/14;falsifikovanje novca;čl. 258;952.0;nepoznat;Ne;osudjujuca;nepoznat;neozenjen;12.0;0.0;nepoznat;1082.0;4;1;0;2;ne;ne;ne
64;Bar;353/14;zloupotreba platnih kartica;čl. 260 st. 2;430.0;ne;Ne;osudjujuca;zaposlen;neozenjen;4.0;0.0;SSS;1555.0;9;1;3;2;ne;ne;ne
65;Nikšić;356/16;zloupotreba platnih kartica;čl. 260 st. 2;400.0;ne;Da;uslovna;zaposlen;ozenjen;6.0;0.0;nepoznat;1117.5;8;1;0;2;ne;ne;ne
66;Kotor;360/2015;falsifikovanje novca;čl. 258 st. 2;300.0;da;Ne;osudjujuca;zaposlen;neozenjen;8.0;0.0;SSS;457.0;5;1;2;5;ne;ne;ne
67;Podgorica;362/22;falsifikovanje novca;čl. 258;50.0;nepoznat;Da;uslovna;zaposlen;neozenjen;6.0;0.0;nepoznat;70.0;2;3;0;0;ne;ne;ne
68;Nikšić;368/20;falsifikovanje novca;čl. 258;200.5;ne;Ne;osudjujuca;nezaposlen;neozenjen;6.0;0.0;SSS;541.0;7;1;0;4;ne;ne;ne
69;Bar;375/07;falsifikovanje novca;čl. 258;700.0;da;Ne;osudjujuca;zaposlen;razveden;3.0;0.0;SSS;1550.0;7;1;0;7;ne;ne;ne
70;Podgorica;376/10;zloupotreba platnih kartica;čl. 260 st. 2;701.0;ne;Da;uslovna;nezaposlen;neozenjen;6.0;0.0;SSS;1803.5;10;1;0;7;ne;ne;ne
71;Berane;377/11;falsifikovanje novca;čl. 258;700.0;ne;Ne;osudjujuca;zaposlen;ozenjen;12.0;0.0;pismen;2093.65;21;1;2;10;ne;ne;ne
72;Podgorica;387/18;falsifikovanje novca;čl. 258 st. 2;895.0;ne;Da;uslovna;zaposlen;razveden;4.0;0.0;pismen;3333.67;19;1;2;10;ne;ne;ne
73;Kotor;389/2016;falsifikovanje novca;čl. 258;650.0;da;Ne;osudjujuca;zaposlen;ozenjen;6.0;0.0;nepoznat;1650.0;5;1;1;1;ne;ne;ne
74;Herceg Novi;38/2017;zloupotreba platnih kartica;čl. 260;30.0;da;Ne;osudjujuca;zaposlen;razveden;2.0;0.0;nepoznat;30.0;1;2;0;3;ne;ne;da
75;Nikšić;395/16;falsifikovanje novca;čl. 258;700.0;ne;Ne;osudjujuca;nezaposlen;razveden;24.0;0.0;SSS;1771.5;9;1;0;3;ne;ne;ne
76;Kotor;399/15;falsifikovanje novca;čl. 258 st. 4;200.0;ne;Ne;osudjujuca;zaposlen;neozenjen;1.5;0.0;nepoznat;1106.0;12;1;2;2;ne;ne;ne
77;Bijelo Polje;406/2011;falsifikovanje novca;čl. 258;675.0;ne;Ne;osudjujuca;nezaposlen;ozenjen;6.0;30.0;SSS;2188.465;23;1;1;10;ne;ne;ne
78;Podgorica;41/13;falsifikovanje novca;čl. 258;100.0;ne;Da;uslovna;zaposlen;ozenjen;1.0;0.0;SSS;150.0;2;1;0;0;ne;ne;ne
79;Bijelo Polje;42/2014;falsifikovanje novca;čl. 258;925.0;ne;Ne;oslobadjajuca;nezaposlen;neozenjen;0.0;0.0;SSS;2395.65;15;1;3;10;ne;ne;da
80;Kotor;42/22;falsifikovanje novca;čl. 258;650.0;ne;Ne;osudjujuca;zaposlen;nepoznat;3.0;0.0;nepoznat;1650.0;5;1;0;4;ne;ne;ne
